Table A.1 Database,,,,,,,,,,,,,Database used in the following article: Can Past Failures Help Identify Vulnerable Bridges to Extreme Events? A Biomimetical Machine Learning Approach (DOI: 10.1007/s00366-019-00874-2)
Bridge,Year of incident,City/Country,Location,System,Material,Span (m),Age,Lanes*,Type,,,,
Beaver Dam Bridge,1963,Canada,Rural,Cable-stayed,Reinforced concrete,37,30,2,Storm/Scour,,,,
Puente Río Abajo,2017,USA,Rural,Cable-stayed,Reinforced concrete,22,43,2,Storm/Scour,,,,
44th Street Bridge,2018,USA,Rural,Cable-stayed,Steel,12,36,1,Wind,,,,
Bell Ford Covered Bridge,1999,USA,Rural,Cable-stayed,Timber,90,114,1,Storm/Scour,,,,
Allenville Covered Bridge,1945,USA,Rural,Cable-stayed,Timber,27,80,1,Storm/Scour,,,,
Dewey Bridge Grand County,4/6/2008,"Moab, UT, USA",Rural,Suspension,Timber,152,93,1,Fire,,,,
Almö Bridge,1980,Sweden,Rural,Truss/Arch,Prestressed concrete,278,20,4,Collision/Impact,,,,
Plaka Bridge,2015,Greece,Rural,Truss/Arch,Reinforced concrete,61,149,1,Storm/Scour,,,,
US50 Cheat River Covered Bridge,5/17/1950,"West Virginia, USA",Rural,Truss/Arch,Composite,103,32,2,Fire,,,,
Mungo River bridge,7/1/2004,Cameroon,Rural,Truss/Arch,Steel,25,43,2,Fire,,,,
Big Four,1893,"KY, USA",Rural,Truss/Arch,Steel,165,1,2,Wind,,,,
Utica Swing Bridge,1906,USA,Rural,Truss/Arch,Steel,115,1,2,Wind,,,,
Viaduc d’Evaux-les-Bains,1884,France,Rural,Truss/Arch,Steel,104,1,1,Wind,,,,
Island Park Bridge,1952,USA,Rural,Truss/Arch,Steel,40,45,1,Wind,,,,
Burr Oak Bridge,2004,USA,Rural,Truss/Arch,Steel,36,61,1,Wind,,,,
Northport Bridge,1949,USA,Rural,Truss/Arch,Steel,80,52,1,Storm/Scour,,,,
L'Erable Bridge,2005,USA,Rural,Truss/Arch,Steel,61,102,1,Storm/Scour,,,,
White Wagon Bridge,1972,USA,Rural,Truss/Arch,Steel,61,82,1,Storm/Scour,,,,
New Hope Through Truss Bridge,2018,USA,Rural,Truss/Arch,Steel,48,134,1,Storm/Scour,,,,
McGregor Bridge,1936,USA,Rural,Truss/Arch,Steel,43,55,2,Storm/Scour,,,,
Elkhorn River Bridge,2010,USA,Rural,Truss/Arch,Steel,40,92,2,Storm/Scour,,,,
Whangaehu River bridge,1953,New Zeeland,Rural,Truss/Arch,Steel,40,45,1,Storm/Scour,,,,
Newville Iron Bridge,1912,USA,Rural,Truss/Arch,Steel,35,37,2,Storm/Scour,,,,
Big Bureau Creek Bridge,2013,USA,Rural,Truss/Arch,Steel,33,69,1,Storm/Scour,,,,
Okoboji Bridge,1926,USA,Rural,Truss/Arch,Steel,25,17,1,Storm/Scour,,,,
Millville Road Bridge,2017,USA,Rural,Truss/Arch,Steel,18,101,2,Storm/Scour,,,,
Big Bayou Canot,1993,USA,Rural,Truss/Arch,Steel,59,30,1,Collision/Impact,,,,
Butler Bridge,1930,USA,Rural,Truss/Arch,Steel,53,23,2,Collision/Impact,,,,
Jelly’s Ferry Road Bridge,1949,USA,Rural,Truss/Arch,Steel,40,67,1,Collision/Impact,,,,
